2	1000	1000	1000	1000	1000	1000
3	1200	1400	1400	1000	1200	1400
4	1200	1400	1600	1200	1400	1400
5	1200	1400	1600	1200	1400	1600
6	1400	1600	1800	1200	1400	1600
7	1400	1600	1800	1200	1600	1800
8	1400	1600	2000	1400	1600	1800
9	1600	1800	2000	1400	1600	1800
10	1600	1800	2200	1400	1800	2000
11	1800	2000	2200	1600	1800	2000
12	1800	2200	2400	1600	2000	2200
13	2000	2200	2600	1600	2000	2200
14	2000	2400	2800	1800	2000	2400
15	2200	2600	3000	1800	2000	2400
16	2400	2800	3200	1800	2000	2400
17	2400	2800	3200	1800	2000	2400
18	2400	2800	3200	1800	2000	2400
19	2600	2800	3000	2000	2200	2400
21	2400	2800	3000	2000	2200	2400
26	2400	2600	3000	1800	2000	2400
31	2400	2600	3000	1800	2000	2200
36	2400	2600	2800	1800	2000	2200
41	2200	2600	2800	1800	2000	2200
46	2200	2400	2800	1800	2000	2200
51	2200	2400	2800	1600	1800	2200
56	2200	2400	2600	1600	1800	2200
61	2000	2400	2600	1600	1800	2000
66	2000	2200	2600	1600	1800	2000
71	2000	2200	2600	1600	1800	2000
76	2000	2200	2400	1600	1800	2000
